tsne_1,tsne_2
-1.246563,13.396603
-3.8802009,5.600374
-9.0431,11.555199
-1.5631514,7.8130636
-13.1231365,11.421481
-0.8508082,14.778121
-0.15701957,7.602531
-4.663354,7.130429
-7.1066675,16.958256
-2.2457604,2.1141834
2.6407115,2.0958786
-3.4942567,4.645334
-1.2818056,3.4192545
8.659184,-8.658552
-5.7936306,4.709436
-11.48074,14.358106
-0.2317803,-3.1676788
2.982379,3.117519
1.9682322,0.64124733
5.0336366,4.725168
3.4878376,4.962401
-1.1910261,7.0870504
-5.956003,14.409914
11.281356,-1.8532321
-10.873346,11.321115
0.870915,4.3186684
-12.199361,11.478827
1.4223902,-2.5085888
-0.5873373,8.497822
-2.508263,14.094752
3.48977,0.13024376
-2.1608918,6.3789935
-5.0669136,14.044496
2.5017424,5.003924
-8.270446,8.608209
-3.5240843,2.518999
-1.220999,-2.2158587
2.404887,3.7584603
3.7730024,-0.9551789
-4.654062,14.540323
-0.6705124,4.194679
-1.9142374,5.979725
-5.0383677,13.362201
-8.917573,8.34144
-1.3687027,5.105974
1.8756095,-0.6717586
-12.405306,9.956047
-4.744222,7.0188475
-5.5736175,14.959436
-2.2393823,12.993613
3.5446155,5.8035326
-8.816918,15.139007
-6.0111065,8.095077
1.1934023,1.4833655
-2.8459077,2.9367654
-6.7276154,11.615477
9.145941,-1.0113549
0.24850136,4.790888
1.7011509,1.008181
-7.901659,11.164399
-0.48466477,1.8007202
-1.4776391,-15.95306
7.117879,-6.2565846
-0.38882235,-15.726213
1.6887245,-14.901515
8.143559,-8.151911
7.6901884,-9.822626
5.8501854,-13.617162
4.4695234,-11.661099
-1.2025084,-9.577312
5.5248194,-5.3823853
0.4601324,-0.0563793
4.1723256,-2.9864666
4.420932,-14.887993
9.360278,-9.756925
1.1658686,1.948725
2.333865,-12.170104
-2.0228593,-11.097508
19.863825,-2.4288197
6.689283,-8.405815
2.800505,-14.56089
3.8415973,-8.78039
5.774913,-14.091651
2.4096591,-13.604553
-0.57584214,-16.375174
2.0560086,-14.006035
0.7754839,-15.831448
-0.7119867,-12.763234
-0.014610844,-14.106422
6.303478,-9.975699
3.2209961,-11.912657
-0.11764369,-13.253271
1.9183292,-12.610802
1.114444,-14.045822
7.849596,-10.000767
-0.976271,-15.037176
-0.37343746,-11.062199
2.4278464,-15.480322
-1.6463062,-13.11198
2.4766338,-8.726161
6.4141254,-9.347096
12.617878,-2.4734857
3.784731,1.5063094
4.041799,-11.268727
10.637063,-4.3820553
8.851694,1.0593596
1.1532078,-6.7055736
0.82935834,-8.313682
0.52106315,-12.680428
12.506887,-7.484915
2.0468194,-6.7662306
0.7843456,-8.8133135
-0.9204518,-14.831486
-2.2611992,-5.650087
5.0639954,-3.472795
7.256137,-7.715779
3.6391187,3.3433943
7.3401084,-4.616927
10.644606,-7.838211
8.857893,-8.73049
1.158898,-15.990483
0.7055377,-6.5812902
0.24023493,-10.277411
8.88552,-5.7068534
-1.1725006,-5.4751906
4.1077986,-6.7900395
-2.6380053,-5.1220827
13.235548,-7.250824
3.1907196,-13.823925
3.171364,-12.7671385
1.1323524,-2.2573702
0.25846556,-7.5517864
1.9734285,-9.914762
1.4691077,-13.020806
5.249927,-12.66533
-2.19397,-5.6405983
0.08286532,-11.717697
6.764172,-10.858324
5.0456676,-5.9212146
2.0662525,-11.133143
-6.2999864,16.730576
-14.347833,13.316788
-1.803396,15.460559
-10.476648,9.1587515
-8.983553,14.778142
11.657035,-3.4788282
-2.753544,0.46298358
-2.9648123,13.100322
-5.661566,16.376371
2.5274637,3.6499622
-3.763728,2.8526735
-9.673463,12.492048
-12.911633,12.589221
-8.896973,9.825782
-7.69919,8.070394
-2.9359183,15.471949
-4.035717,15.335162
-6.6291294,17.270912
-7.793869,13.135135
-1.2094861,11.182896
-7.3599396,9.500474
-11.393906,8.294231
-0.13879618,-0.2514287
-13.3259115,13.568281
-11.884948,8.827016
-6.1139965,17.537998
-9.085978,6.8514414
-8.784229,9.802196
-3.2439804,1.2019207
0.99421346,2.6399376
-4.241702,17.138008
0.760363,11.300556
-13.890486,13.662165
3.0385346,-2.3188298
-12.6540575,9.829444
-1.3792789,7.9744477
-13.472043,12.642053
-10.576896,9.498141
-9.75319,5.859743
-9.824817,14.407027
-1.6809733,13.681727
-5.124528,5.021923
-12.23583,12.96523
-4.2481675,16.93921
1.6137673,4.7630916
-2.7610667,15.492337
-12.273149,12.188572
-7.8964753,17.525928
-13.470251,14.845521
2.9465094,2.4282627
10.448167,-6.834864
14.494459,-0.038676165
5.6217737,2.733148
13.794401,-6.7927113
4.4377494,2.9218307
9.212496,-6.6275935
9.120565,-4.0287457
6.636232,-3.2899735
11.049549,-4.4319887
12.184732,-0.81660926
3.9318068,-13.762228
13.030187,-2.7584283
12.194282,-4.826745
9.591876,-4.506227
9.133165,-7.3645825
6.4975,0.043626104
7.1305885,-0.29208016
13.565794,-6.7042317
4.395993,-8.198817
12.869862,-5.7164426
9.712102,-1.1824666
6.541416,-3.3664033
10.880599,1.1094602
8.41766,-6.801955
9.761689,-0.4302573
5.3376703,-10.195952
5.5989356,-8.087088
3.2201927,-10.4546175
10.080159,-3.5798125
5.7613378,-7.008063
10.740053,-2.6295798
9.403381,-6.2807245
11.393984,-1.0718058
4.894964,-7.561707
2.5669057,-7.758747
12.44691,-1.3789837
9.632804,-5.4101496
11.998796,-2.1521602
14.789853,-6.672094
10.94164,-6.5665083
18.324598,-4.16712
18.143415,-5.062479
17.248463,-6.8812766
16.75215,-3.8170247
21.72419,-3.6705725
17.566776,-0.7167436
17.117247,-3.7165542
19.120214,-3.787086
16.61816,-6.3863854
18.589859,-2.9230156
19.524351,-0.69120616
17.637367,-1.5490258
14.71382,-2.0098724
18.795044,-2.7338822
16.174795,-3.1593122
21.715567,-2.9664886
21.490143,-2.2967584
19.436787,-1.1088282
20.861477,-1.9554152
21.091223,-3.1931608
17.159294,-5.9841404
22.052008,-2.1898818
20.251144,-3.67368
17.338999,-4.7792845
19.21128,-1.9914235
17.731812,-3.658724
16.969263,-2.9320438
17.480581,-2.1849985
18.159227,-4.5152783
21.338337,-3.8576274
20.055637,-1.734464
22.363253,-3.2829504
16.295084,-2.7407827
16.129019,-5.8296666
15.173708,-3.073987
-5.1074715,11.825388
-3.6973672,8.901738
-8.65325,7.175112
-5.437472,12.212937
-8.894278,5.919742
-6.6432157,15.5141325
-0.395896,14.170137
-4.2132626,11.316277
-3.1938593,12.300919
-3.6160233,12.157805
-4.071757,8.931344
3.7528868,4.123832
5.7354093,5.225233
-10.416489,16.631952
-3.9270787,7.139798
-7.1960564,8.205562
-6.965059,8.307632
-10.025505,15.901408
-6.3183875,13.37087
-6.2738504,12.580875
-6.6772275,2.7181458
-10.7116785,12.769791
-7.221344,11.75589
-7.189662,8.948618
-2.6596951,12.220894
-3.3209312,9.857763
-8.279291,11.325771
-0.44679105,13.109352
5.984162,5.306404
0.70785373,7.553211
-9.161857,7.186166
-5.8770747,15.505075
-5.342787,12.586309
-5.281376,9.771422
-8.921908,11.317831
